URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11010411,"7K/1 Emily Place, City Centre","$425 per week, available now","Recently renovated Studio in Tower Hill




Recently renovated Studio apartment in TOWER HILL building located in downtown Auckland City.

SEMI FURNISHED apartment,
Studio
Open plan kitchen and living areas,
Key tag security access,
On-site Building Manager,
Gym,
Cold water included

Lovely furnished studio apartment in a sought after location. Britomart Station with Bus, Train and Ferry Stations is only a short stroll away. Downtown Shopping Centre offers many shops and eateries. A suitable location for Auckland University, AUT with lots of restaurants, cafes and bars close by.

Available Date – Now
Suitable for a maximum of 1-2 tenants.
No smoking allowed

$425.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $1,700.00
- 2 x week rent in advance = $850.00
TOTAL: $2,550.00

- Please use this link to complete the online tenancy application.
https://2apply.co.nz/login/Mobile
- Please upload photo ID, proof of income, and a copy of your visa (if required).

Everyone over the age of 18 who wants to live at the property, needs their own application form and supporting documents and needs to view the property in person.

Please register online at:
https://www.barfoot.co.nz/branches/city

PLEASE NOTE: You MUST REGISTER for an Inspection so we can keep you up-to-date on the status of the inspections and property. Inspections may be cancelled if there are no attendees registered or confirmed.

IMPORTANT NOTICE: Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11020628,"202/47 Wakefield Street, City Centre","$350 per week, available now","APT in CBD

This is a nice studio in CBD.

North-facing to enjoy all day sunlight, and with Sky Tower views
Residents' access is by swipe key only and there are security cameras monitoring entry to the tiled lobby containing two lifts
Zoned from Auckland Grammar School
Prime location, AUT and University of Auckland are at doorsteps, and with Queen Street, Aotea Square and the Events Entertainment Centre just down the road.

Viewing: Interested in viewing this property? Please register your details via the Barfoot & Thompson website and click on ""Book a Viewing.""
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11020628

Read more",Eric Li : 027448 7818
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11021821,"11C/2 White Street, City Centre","$450 per week, available now","Fully furnished and cold water included

Photos are staged

Elevated and tucked away behind Auckland's golden mile (Queen Street) this smart city apartment makes perfect sense. Situated in Bianco off Queen - a highly regarded and well run complex with a mixture of both hotel suites and private residences.

The apartment itself is brilliantly presented and well proportioned compared to the shoebox style units that you are used to seeing in the city market.

A Location that you simply can not ignore - close to the entertainment hubs of the city including Karangahape Road, Sky City complex and the bars and restaurants of downtown Auckland. Academics and students are virtually on the doorstep of Auckland University and AUT.

Safe, secure and built to the highest standards

Read more",Rowan Ma : 027702 2032
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/39003549,"102/100 Greys Avenue, City Centre","$450 per week, available now","Studio Apartment - POWER & WATER INCLUDED

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details

This modern, bright & spacious apartment is situated in the sought after Parkside Hotel & Apartments.

Property Features:
Fully Furnished,
Studio,
One bathroom,
POWER & WATER INCLUDED,
Balcony,
Key tag access,
Approx. 39 sqm,
Full access to the swimming pool, spa and indoor gym,

Located in the heart of the Auckland CBD and is within walking distance to Queen Street, Sky City, Civic Theatre, Universities and Aotea Square.

Available Date – NOW!
Suitable for a maximum of 2 tenants.
No smokers allowed.

$450.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $1,800.00
- 2 x week rent in advance = $900.00
TOTAL: $2,700.00

Please copy and paste this link to book a viewing:
(Insert Apply link from property page)

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.

(Insert link from property page)

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/49000359,"815/72 Nelson Street, City Centre","$385 per week, available now","Bring Yourself & Your Bedding!

Zest Apartment Block.

Complete with furnishings such Appliances (including washing machine and dryer), double bed and other small necessities which is everything you need!

Affordable utilities and conveniently located in close proximity to local shops, amenities and Universities.
No pets

Move in costs:
Rent: $770 (2 weeks rent)
Bond: $1540 (4 weeks bond)
Total: $2310

To View:

Please check out our open home schedule or register for a viewing and we will contact you.

For more more details, or if you have any questions, please contact Hayley Goding -- h.goding@barfoot.co.nz or 0272985084

Landlords Barfoot & Thompson can also help you to professionally manage your rental property, contact Hayley Goding on 027 298 5084 for more details.

Beware of scams! Barfoot & Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full Tenancy Agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace

Read more",Hayley Goding : 027298 5084
https://www.barfoot.co.nz/property/rental/auckland-city/eden-terrace/apartment/11020481,"1C/22 Fleet Street, Eden Terrace","$900 per week, available now","For Rent Furnished 2 Bed + Study, 2 Bath + Parking

This park-view apartment features high-stud ceilings and crisp, modern lines. Enjoy the flexibility of an open plan layout featuring two generous double bedrooms, each with excellent storage. The master suite boasts a private ensuite and direct access to the sun-drenched balcony, where seamless glass balustrades frame tranquil views through the trees to Basque Park.
A dedicated study provides the perfect space to work from home or pursue your passions, while the sizable living area flows effortlessly outdoors, ideal for entertaining or simply unwinding in the
afternoon sun.

Located in a truly future-proofed position, you’ll be just moments from the vibrant retail scene in Newmarket, the culinary delights of Ponsonby, and enjoy unbeatable access to the CBD.

Key Features:
Furnished
2 Bed + Study
2 Bath - stylish bathrooms, including a master ensuite
2 Secure basement tandem car parks

No Smokers/Vapers
Pets may be considered on request, subject to Body Corporate approval if applicable.
Water is not included in the rent
Move-in costs: 4-weeks bond, 2-weeks rent in advance
Available for 1 year fixed-term tenancy, with the possibility of renewal.
Don't miss the opportunity to call this your next home!

THIS PROPERTY IS PROUDLY MANAGED BY BARFOOT & THOMPSON GREY LYNN

Landlords/Investors: At Barfoot & Thompson Grey Lynn Property Management, we provide professional, personalised and bespoke services for our clients. We do this with the backing of the biggest real estate and Property Management Company in Auckland. Ask us today about our management packages, casual letting services and rental appraisal services. We specialise in rentals and property management Auckland wide. PH: 09 3768954 or email:greylynn.rental@barfoot.co.nz

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide an offer of tenancy letter/email prior to money collection. If unsure, please pop into one of our branches and see us in person.

Read more",Vlad Muhin : 0272332 724
https://www.barfoot.co.nz/property/rental/auckland-city/eden-terrace/apartment/39003866,"327/184 Symonds Street, Eden Terrace","$600 per week, available 12th March","2 Bedroom APARTMENT WITH CARPARK

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

CITTA APARTMENTS

This 2 Bedroom Apartment comes with a secure carpark is located on the corner of upper Symonds Street and Khyber Pass Road.

Overlooking the manicured courtyard that is for exclusive use by residents only - providing a nice place away from the hustle and bustle of Auckland City.

· 2 Bedroom
· 1 Bathroom
· 1 Car Park
· FURNISHED (no cutlery)
· Open plane Kitchen, Dining & Lounge
· On-site Building Manager
· Security tag/fob access system

Easy access to New market, Parnell, Mt Eden, CBD and close to AUT, The University of Auckland, Auckland Hospital and public transport.

Available Now!
Suitable for a maximum of 3 tenants.
No pets or smokers allowed.

$600.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $2,400.00
- 2 x week rent in advance = $1,200.00
TOTAL: $3,600.00

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=39003866

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with
new viewing times and property information. Viewings may be cancelled if there are no attendees registered or
confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://2apply.co.nz/Form?agentId=BT-39&uniqueId=39003866

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting
documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement
to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person.
We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/meadowbank/house/92000014,"216 Gowing Drive, Meadowbank","$950 per week, available now","Meadowbank Spacious Family Home

This renovated, easy living family home is looking for a great family to come and enjoy its many benefits. The main living space is elevated and on one level, linking to the wonderful garden and entertaining area. The garden backs onto farmland giving the property a real sense of space.

There is an open plan kitchen and dining area which connects to a large lounge and office space. Down the hallway is the master bedroom, across the hall is with one single room and the family bathroom with separate bath opposite. There are two additional double bedrooms further down the hallway, one with an en-suite bathroom.

There is internal access to the double garage with workshop and a good sized rumpus or media room.

This property is fully fenced with automated gate. Public transport is directly outside the property.
St Heliers Beach, Pony Club, Meadowbank shopping centre and the Glen Innes train station are all nearby.

No smoking

Read more",Daniel Slater : 027257 5681
https://www.barfoot.co.nz/property/rental/auckland-city/mt-eden/unit/11008962,"5/10 Ngauruhoe Street, Mt Eden","$440 per week, available now","1 bedroom in central of Mt Eden- Cat Friendly & Water Included

Welcome to a second-level unit that exudes a vibrant aura, boasting 1 bedroom, 1 bathroom, newly renovated condition.

Step into a historic building, it has been artfully transformed into 12 exceptional units. Each residence radiates a sense of polished professionalism, creating a dynamic community of like-minded individuals who appreciate the finer things in life.

Immerse yourself in the electric ambiance of Mt Eden Village, mere minutes away from your doorstep. Relish the plethora of trendy cafes, bars, and shops that await exploration. With excellent transport links at your disposal, the vibrant city is within effortless reach.

Parents seeking quality education for their child will be delighted to discover that this property falls within the prestigious zones of Epsom Girls Grammar and Auckland Grammar Schools. This esteemed location ensures a well-rounded and prosperous future for your family.

Indulge in the shared garden areas, where creativity flourishes and a strong sense of community thrives.

WATER ARE INCLUDED IN THE RENT!!!!!!

Contact Ryan as soon as possible to secure your place in this extraordinary property.

Moving cost 1 week rent plus 4 weeks bond

Read more",Ryan Wang : 027273 2658
https://www.barfoot.co.nz/property/rental/auckland-city/mt-roskill/house/30001354,"28 Katavich Place, Mt Roskill","$820 per week, available now","Great Location - Gem in Mt Roskill

This solid two-storey brick-and-tile home is tucked away in a quiet cul-de-sac in Mt Roskill, Auckland, offering comfortable family living with great views from the lounge and bedrooms. Conveniently located, the property is close to local shops and provides easy access to the motorway.

Inside, the home features four bedrooms and two bathrooms, along with a good-sized kitchen that flows into the living areas. Additional spaces include a rumpus room and a sunroom downstairs, offering flexibility for family living, entertaining, or working from home.

Parking is well catered for with a single garage, carport, and one off-street park, providing a total of three parking spaces.

TOTAL MOVE IN COST:

1 week rent + 4 weeks' bond

TO VIEW: Find the property online at https://www.barfoot.co.nz/branches/greenlane/rentals. Click the BOOK A VIEWING link and register to view. Upon registration, you will receive a confirmation email/text with more information regarding the viewing.

Beware of scams! Barfoot and Thompson do not ask for money up front until you have seen the property inside and out by a staff member who will be wearing ID and travel in a sign-written vehicle. They will then provide a full tenancy agreement for signing before the money is collected. If unsure, please pop into our branch and see us in person.

LANDLORDS: Barfoot and Thompson Greenlane offers full property management services. Please give me a call to discuss your requirements on 0212267616 or email c.lu@barfoot.co.nz

Read more",Coco Lu : 021226 7616
