URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11010411,"7K/1 Emily Place, City Centre","$425 per week, available now","Recently renovated Studio in Tower Hill




Recently renovated Studio apartment in TOWER HILL building located in downtown Auckland City.

SEMI FURNISHED apartment,
Studio
Open plan kitchen and living areas,
Key tag security access,
On-site Building Manager,
Gym,
Cold water included

Lovely furnished studio apartment in a sought after location. Britomart Station with Bus, Train and Ferry Stations is only a short stroll away. Downtown Shopping Centre offers many shops and eateries. A suitable location for Auckland University, AUT with lots of restaurants, cafes and bars close by.

Available Date – Now
Suitable for a maximum of 1-2 tenants.
No smoking allowed

$425.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $1,700.00
- 2 x week rent in advance = $850.00
TOTAL: $2,550.00

- Please use this link to complete the online tenancy application.
https://2apply.co.nz/login/Mobile
- Please upload photo ID, proof of income, and a copy of your visa (if required).

Everyone over the age of 18 who wants to live at the property, needs their own application form and supporting documents and needs to view the property in person.

Please register online at:
https://www.barfoot.co.nz/branches/city

PLEASE NOTE: You MUST REGISTER for an Inspection so we can keep you up-to-date on the status of the inspections and property. Inspections may be cancelled if there are no attendees registered or confirmed.

IMPORTANT NOTICE: Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11015484,"901/36 Eden Crescent, City Centre","$550 per week, available 3rd April","Two Bedroom 2 Bathroom Apartment

EDEN CRESCENT APARTMENT

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

Furnished two bedroom, two bathroom apartment located at 36 Eden Crescent.

Two bedrooms (1 single bed, 1 double bed)
Two bathrooms (Include 1 ensuite)
FURNISHED
Open plan kitchen and living area
Balcony
Secure key tag access
New paint and new carpet

Only a short walk to Queen Street, Britomart, University of Auckland & AUT.

Available Date – 03/04/2026
Suitable for a maximum of 2 tenants.
No smokers allowed.

$550.00 per week.

MOVE IN COSTS:
- 4 x weeks bond
- 2 x week rent in advance

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11015484

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://www.2apply.co.nz/login?ReturnUrl=%2FForm%3FagentId%3DBT-39%26uniqueId%3D11015484

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person.
We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11024411,"718/22 Nelson Street, City Centre","$430 per week, available 13th March","Live Large in the Heart of Auckland CBD! Studio Apartment with Premier Facilities

Step into the excitement of city living with this stylish, fully furnished studio apartment in Heritage Tower — your affordable gateway to Auckland’s vibrant urban lifestyle!

**Experience the Ultimate in Convenience & Comfort**

This contemporary studio boasts an efficient, open-plan layout designed for effortless living. Soak up natural light through floor-to-ceiling glazing, and enjoy sleek, modern finishes throughout. The thoughtfully appointed kitchenette and smart use of space make city life a breeze—whether you’re a first-time renter, young professional, or studying.

**Why You’ll Love This Apartment:**

- **Modern studio design:** Cleverly maximized layout for comfortable living
- **Light-filled interiors:** Bright, airy, and inviting
- **Fully furnished:** Move in and start living from day one
- **Secure building:** Peace of mind with key access
- **Unbeatable CBD location:** Step outside to cafés, restaurants, universities, and transport
- **Resort-style facilities:** Indulge in exclusive access to rooftop & indoor pools, gyms, spa, and sauna
- **Cold Water included:** One less bill to worry about!

**Location, Location, Location**

Nestled on Nelson Street, you’re moments from SkyCity, Aotea Square, major universities, transport links, and all the energy Auckland has to offer. Everything you need is right at your doorstep—embrace the ultimate city lifestyle!

---

**Studio Apartment | 1 Bathroom | No Parking**

**Ready to Move In—Just Bring Your Suitcase!**

No smoking. Tenants are responsible for electricity and internet.
Move in costs 1x weeks rent in advance & 4x weeks bond.

You can book a viewing for any of our rental properties by following these steps:

Visit: https://tinyurl.com/BTMtRoskillRent
Click on the property you're interested in
Select 'Book a Viewing' (under 'View and Apply')
Fill in your details, select an available time and click 'CONFIRM'

**You can book in for viewings for any of our rentals here cut and paste the link:
https://tinyurl.com/BTMtRoskillRent**

At Barfoot & Thompson Mt Roskill, we help landlords rent smarter and manage better.

Our team is local, experienced, and here to support you every step of the way. Get in touch today on (09) 621 0917 or mtroskill.rental@barfoot.co.nz.

Read more",Esther Allen-Davis : 027591 4505
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/39001914,"903/85 Beach Road, City Centre","$620 per week, available 27th March","Introducing a Modern and Furnished Two-Bedroom Apartment with near new Carpet

THE BEACH
LEVEL 9
85 Beach Rd

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

Spacious two bedroom with large balcony, near new carpet & near new queen mattresses!

FURNISHED,
Near New CARPET throughout,
TWO Double bedrooms,
Open plan kitchen and living areas,
TWO Near-NEW QUEEN MATTRESSES,
One bathroom WITH LAUNDRY AREA,
Opening ranch sliders to a good sized balcony,
Front door has an upgraded entry lock system,
Approx 61 sqm,
Resident use of lap pool,
NORTH EAST facing with lots of sun,
Security tag/fob access system,
No Smoking.

Furnished, new carpet throughout, this spacious two-bedroom apartment offers modern living in a popular building. The large open plan living area boasts opening ranch sliders to the North East, providing stunning views of Auckland's Harbour and the old Railway Station. With a well-designed layout and approximately 61 sqm of space, this apartment is perfect for comfortable living. Residents of this secure complex have access to a lap pool, perfect for enjoying the outdoors. The unit itself also has an upgraded entry lock system. Located just a short walk away from the City centre, Britomart Station, Ferry buildings, and Queen St, this apartment offers convenience at its best. With an abundance of restaurants, eateries, and food shops within walking distance, there's no need for a car in this prime location.

Please do a drive-by to ensure you like the area and location, but DO NOT ENTER THE PREMISES under any circumstances. Property is tenanted.

$620.00 per week. Available Date – 27/03/2026
STRICTLY SUITABLE for a maximum of 3 occupants ONLY.
Power, Internet & Water NOT included.


MOVE IN COSTS:
- 4 x weeks bond = $2,480.00
- 2 x week rent in advance = $1,240.00
TOTAL: $3,720.00

We do not do ""viewing on behalf of"" or ""virtual viewings"".

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=39001914

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://2apply.co.nz/Form?agentId=BT-39&uniqueId=39001914

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/39003549,"102/100 Greys Avenue, City Centre","$450 per week, available now","Studio Apartment - POWER & WATER INCLUDED

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details

This modern, bright & spacious apartment is situated in the sought after Parkside Hotel & Apartments.

Property Features:
Fully Furnished,
Studio,
One bathroom,
POWER & WATER INCLUDED,
Balcony,
Key tag access,
Approx. 39 sqm,
Full access to the swimming pool, spa and indoor gym,

Located in the heart of the Auckland CBD and is within walking distance to Queen Street, Sky City, Civic Theatre, Universities and Aotea Square.

Available Date – NOW!
Suitable for a maximum of 2 tenants.
No smokers allowed.

$450.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $1,800.00
- 2 x week rent in advance = $900.00
TOTAL: $2,700.00

Please copy and paste this link to book a viewing:
(Insert Apply link from property page)

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.

(Insert link from property page)

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/49000359,"815/72 Nelson Street, City Centre","$385 per week, available now","Bring Yourself & Your Bedding!

Zest Apartment Block.

Complete with furnishings such Appliances (including washing machine and dryer), double bed and other small necessities which is everything you need!

Affordable utilities and conveniently located in close proximity to local shops, amenities and Universities.
No pets

Move in costs:
Rent: $770 (2 weeks rent)
Bond: $1540 (4 weeks bond)
Total: $2310

To View:

Please check out our open home schedule or register for a viewing and we will contact you.

For more more details, or if you have any questions, please contact Hayley Goding -- h.goding@barfoot.co.nz or 0272985084

Landlords Barfoot & Thompson can also help you to professionally manage your rental property, contact Hayley Goding on 027 298 5084 for more details.

Beware of scams! Barfoot & Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full Tenancy Agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace

Read more",Hayley Goding : 027298 5084
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/11013049,"53 Sovereign Street, Flat Bush","$1,600 per week, available 20th March","Lifestyle in Regis Park

Welcome to Regis Park, where a life of luxury and tranquility awaits you. Large bedrooms and bathrooms, with double garage.

Introducing a remarkable property that will inspire you to strive for something better. Nestled in the prestigious neighborhood of Regis Park, this private sanctuary on Sovereign Street offers an unrivaled lifestyle experience.

Immerse yourself in the tranquil surroundings of Regis Park, a haven of peace and serenity. The private park, exclusively accessible to residents, offers a welcome escape from the hustle and bustle of everyday life. Spend your afternoons strolling through the lush greenery or simply basking in the calm atmosphere.

Regis Park is known for its quiet and peaceful atmosphere, making it the perfect place to call home. Whether you're looking for a place to raise a family or seeking a retreat from the chaos of city living, this property offers the ideal balance of comfort and convenience.

Don't miss out on this incredible opportunity to elevate your lifestyle. Contact our property manager today to arrange a viewing and experience the beauty of Regis Park for yourself. Your dream home awaits.

***********
Beware of scams ! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

************

Read more",Colin Yang : 021228 9902
https://www.barfoot.co.nz/property/rental/manukau-city/manukau/apartment/85002204,"1004/17 Amersham Way, Manukau","$420 per week, available 16th March","Fully furnished and fab one bedroom studio

This lovely apartment sits on the 10th floor and offers great views of Manukau City. The apartment comes fully furnished, and features a good sized bedroom and kitchen with plenty of storage space. Another bonus is the fully covered balcony area which is perfect for you to enjoy your morning and afternoon tea. There is one secure covered car park provided.

Convenience is at your doorstep, with a shopping mall, train station, bus station, and town all just a short stroll away. Say goodbye to long commutes and hello to a lifestyle of ease and accessibility.

Step inside this beautifully designed apartment and be greeted by a spacious and inviting living area. The open-plan layout creates a seamless flow, perfect for entertaining guests or simply relaxing after a long day.

The bedroom is generously sized, providing ample space for a comfortable retreat. You'll wake up feeling refreshed and ready to take on the day in this peaceful sanctuary.

The bathroom is modern and well-appointed, offering both style and functionality. Start your mornings off right with a refreshing shower or wind down in the evenings with a relaxing soak in the tub.

One of the standout features of this property is the included parking space. No more hunting for a spot or worrying about the safety of your vehicle – it's all taken care of.

Don't miss out on the opportunity to make this incredible apartment your new home. Contact us today to arrange a viewing and experience the convenience and luxury that this property has to offer.

Available : 16/03/2026
Rent :$ 420
Book for a viewing online or call 09 363 1333

Read more",Ya-Yi Wen : 027213 9414
https://www.barfoot.co.nz/property/rental/north-shore-city/albany/house/11024313,Albany,"$6,500 per week, available now","High End Executive Living in Pareremoremo

Private Sanctuary Awaits Discover this stunning 4 bedroom + study estate, nestled on lush, landscaped acreage in serene Lucas Heights. Fully furnished with elegant, high-end interiors, this home offers resort-style living just minutes from Albany and easy access to the Auckland CBD. Just bring your suitcase - everything else is here for you.
Property Highlights

Four spacious bedrooms + dedicated study
2.5 modern bathrooms; luxurious master ensuite with spa bath
Two generous living areas + a home theatre with integrated sound
Chef's kitchen with high-end appliances and walk-in pantry
Private master suite opening to its own sunlit deck
Sparkling saltwater pool (robotic cleaner included)
Alfresco entertaining area with jacuzzi
Peaceful goldfish pond, manicured lawns, lush gardens
Electric gated entry and double internal-access garage
Eco-friendly with tank & bore water supply
Professional gardening service included
Location Advantages
Only 8 minutes to Albany Westfield & motorway access
Near top schools, cafes, golf courses, scenic walking trails
Easy commute to Auckland CBD - yet a tranquil escape

Grounds and pool are maintained as part of Tenancy.
** There is a separate guest house located approx. 200m away that will be rented separately. However it cannot been seen from this property and is very private.

Virtual Tour available at
https://www.barfoot.co.nz/property/rental/north-shore-city/albany/house/11024313

Viewing is by private appointment only.

Money due upon signup:
2 weeks rent in advance
4 weeks bond


Read more",Russell White : 027572 2622
https://www.barfoot.co.nz/property/rental/rodney-district/stanmore-bay/unit/11012683,"3/142 Stanmore Bay Road, Stanmore Bay","$540 per week, available 3rd April","Fully Furnished, Low Maintenance Unit by the beach

The Lifestyle
Imagine finishing work and being on the sands of Stanmore Bay Beach in less than two minutes. Located just 100m from the water, 3/142 Stanmore Bay Road offers a lifestyle of ease, sun, and coastal convenience. Whether it’s an early morning swim or a sunset stroll, the best of the Coast is literally on your doorstep.

The Home
This ""cute as a button"" two-bedroom home comes fully furnished, making it the perfect stress-free move.
Entertainer’s Delight: A large, sun-drenched deck flows seamlessly from the open-plan living area, ideal for summer BBQs.
The Master: Features elevated views to wake up to.
The 2nd Bedroom: Perfectly set up with bunks, ideal for a small child or a home office/guest setup.
Grounds & Amenities: Forget the lawnmower. Ground maintenance is fully taken care of. The complex even features an on-site playground for the kids.

The Location
You are in the heart of the action. Walk to:
Stanmore Bay Beach & Boat Club
Leisure Centre, Pool, and Sports Fields
Whangaparaoa College
Coast Plaza (New World, retail, bars, and restaurants)

The Numbers
Rent: $540 per week (Water Included)
Bond: $2,160

Move in, sit back, and enjoy the salt air. Book your viewing today.
Pets considered on request

Read more",Philip McCall : 027252 5719
